Fayetteville,258,246
Ferris,2436,2788
Flatonia,1383,1308
Florence,1136,1171
Floresville,6448,7203
Flower Mound,64669,75956
Floydada,3038,2675
Follett,459,373
Forest Hill,12355,13955
Forney,14661,23455
Forsan,210,225
Fort Stockton,8283,8466
Fort Worth,741206,918915
Franklin,1564,1614
Frankston,1229,1126
Fredericksburg,10530,10875
Freeport,12049,10696
Freer,2818,2461
Friendswood,35805,41213
Friona,4123,4171
Frisco,116989,200509
Fritch,2117,1859
Frost,643,620
Fruitvale,408,476
Fulshear,1134,16856
Fulton,1358,1523
Gainesville,16002,16886
Galena Park,10887,10757
Gallatin,419,434
Galveston,47743,50446
Ganado,2003,2055
Garden Ridge,3259,4130
Garland,226876,239928
Garrett,806,892
Garrison,895,873
Gary City,311,300
Gatesville,15751,12401
George West,2445,2562
Georgetown,47400,79604
Gholson,1061,1118
Giddings,4881,5099
Gilmer,4905,5143
Gladewater,6441,6341
Glen Rose,2444,2699
Glenn Heights,11278,13377
Godley,1009,1373
Goldsmith,257,294
Goldthwaite,1878,1833
Goliad,1908,2004
Golinda,559,589
Gonzales,7237,7533
Goodlow,200,198
Goodrich,271,323
Gordon,478,486
Goree,203,203
Gorman,1083,1035
Graford,584,627
Graham,8903,8622
Granbury,7978,10730
Grand Prairie,175396,194543
Grand Saline,3136,3173
Grandfalls,360,403
Grandview,1561,1798
Granger,1419,1505
Granite Shoals,4910,5087
Granjeno,293,315
Grapeland,1489,1443
Grapevine,46334,55281
Grays Prairie,337,372
Greenville,25557,28827
Gregory,1907,1886
Grey Forest,483,564
Groesbeck,4328,4253
Groom,574,550
Groves,16144,15480
Groveton,1057,1023
Gruver,1194,1135
Gun Barrel City,5672,6208
Gunter,1498,1675
Gustine,476,468
Hackberry,968,1077
Hale Center,2252,2054
Hallettsville,2550,2637
Hallsburg,507,468
Hallsville,3577,4296
Haltom City,42409,43874
Hamilton,3095,3012
Hamlin,2124,2021
Happy,678,668
Hardin,819,935
Harker Heights,26700,32421
Harlingen,64849,65022
Hart,1114,1020
Haskell,3322,3153
Haslet,1517,1923
Hawk Cove,483,557
Hawkins,1278,1321
Hawley,634,623
Hays,217,269
Hearne,4459,4354
Heath,6921,9331
Hebron,415,215
Hedley,329,289
Hedwig Village,2557,2634
Helotes,7341,9961
Hemphill,1198,1244
Hempstead,5770,8355
Henderson,13712,13154
Henrietta,3141,3118
Hereford,15370,14622
Hewitt,13549,14937
Hickory Creek,3247,4795
Hico,1379,1413
Hidalgo,11198,14183
Hideaway,3083,3174
Higgins,397,391
Highland Haven,431,443
Highland Park,8564,9083
Highland Village,15056,16668
Hill Country Village,985,1114
Hillcrest,730,712
Hillsboro,8456,8476
Hilshire Village,746,808
Hitchcock,6961,7914
Holiday Lakes,1107,1250
Holland,1121,1171
Holliday,1758,1670
Hollywood Park,3062,3342
Hondo,8803,9436
Honey Grove,1668,1737
Hooks,2769,2712
Horizon City,16735,19642
Horseshoe Bay,3418,4024
Houston,2099451,2320268
Howardwick,402,393
Howe,2600,3346
Hubbard,1423,1406
Hudson,4731,5005
Hudson Oaks,1662,2479
Hughes Springs,1760,1709
Humble,15133,15824
Hunters Creek Village,4367,4869
Huntington,2118,2111
Huntsville,38548,42241
Hurst,37337,38655
Hutchins,5338,5866
Hutto,14698,27947
Huxley,385,382
Idalou,2250,2308
Impact,35,30
Indian Lake,640,854
Industry,304,325
Ingleside,9387,10192
Ingleside on the Bay,615,607
Ingram,1804,1850
Iola,401,424
Iowa Colony,1170,3233
Iowa Park,6355,6339
Iraan,1229,1222
Iredell,339,342
Irving,216290,239798
Italy,1863,1923
Itasca,1644,1733
Ivanhoe,887,1436
Jacinto City,10553,10466
Jacksboro,4511,4384
Jacksonville,14544,14815
Jamaica Beach,983,1079
Jarrell,984,1832
Jasper,7590,7551
Jayton,534,502
Jefferson,2106,1915
Jersey Village,7620,7890
Jewett,1167,1220
Joaquin,824,805
Johnson City,1656,2131
Jolly,172,163
Jones Creek,2020,2077
Jonestown,1834,2105
Josephine,812,2094
Joshua,5910,8101
Jourdanton,3871,4405
Junction,2574,2404
Justin,3246,4279
Karnes City,3042,3383
Katy,14102,21729
Kaufman,6703,7788
Keene,6106,6568
Keller,39627,47213
Kemah,1773,2019
Kemp,1154,1236
Kempner,1089,1140
Kendleton,380,454
Kenedy,3296,3353
Kenefick,563,693
Kennard,337,325
Kennedale,6763,8645
Kerens,1573,1523
Kermit,5708,6486
Kerrville,22347,23754
Kilgore,12975,14852
Killeen,127921,151666
Kingsbury,,133
Kingsville,26213,25315
Kirby,8000,8723
Kirbyville,2142,2069
Kirvin,129,131
Knollwood,226,489
Knox City,1130,1119
Kosse,464,466
Kountze,2123,2108
Kress,715,681
Krugerville,1662,1836
Krum,4157,5018
Kurten,398,409
Kyle,28016,48393
La Feria,7302,7230
La Grange,4641,4677
La Grulla,1622,1701
La Joya,3985,4293
La Marque,14509,17319
La Porte,33800,34976
La Vernia,1034,1428
La Villa,1957,2870
La Ward,213,224
LaCoste,1119,1247
Lacy-Lakeview,6489,6721
Ladonia,612,627
Lago Vista,6041,7556
Laguna Vista,3117,3180
Lake Bridgeport,340,399
Lake City,509,531
Lake Dallas,7105,8063
Lake Jackson,26849,27220
Lake Tanglewood,796,886
Lake Worth,4584,4896
Lakeport,974,996
Lakeside,312,303
Lakeside,1307,1593
Lakeside City,997,957
Lakeview,107,95
Lakeway,11391,15981
Lakewood Village,545,964
Lamesa,9422,9147
Lampasas,6681,7982
Lancaster,36361,39228
Laredo,236091,262491
Latexo,322,314
Lavon,2219,3724
Lawn,314,321
League City,83560,107536
Leakey,425,438
Leander,26521,62608
Leary,495,502
Lefors,497,480
Leon Valley,10151,12306
Leona,175,180
Leonard,1990,2054
Leroy,337,346
Levelland,13542,13502
Lewisville,95290,109212
Lexington,1177,1222
Liberty,8397,9314
Liberty Hill,967,2931
Lincoln Park,308,558
Lindale,4818,6464
Linden,1988,1915
Lindsay,1018,1149
Lipan,430,488
Little Elm,25898,53126
Little River-Academy,1961,2038
Littlefield,6372,5843
Live Oak,13131,16499
Liverpool,482,551
Livingston,5335,5242
Llano,3232,3497
Lockhart,12698,14133
Lockney,1842,1631
Log Cabin,714,772
Lometa,856,861
Lone Oak,598,692
Lone Star,1581,1482
Longview,80455,81631
Loraine,602,564
Lorena,1691,1755
Lorenzo,1147,1138
Los Fresnos,5542,7837
Los Indios,1083,1060
Los Ybanez,19,19
Lott,759,742
Lovelady,649,627
Lowry Crossing,1711,1727
Lubbock,229573,258862
Lucas,5166,8553
Lueders,346,333
Lufkin,35067,35021
Luling,5411,5869
Lumberton,11943,13073
Lyford,2611,2540
Lytle,2492,3066
Mabank,3035,3995
Madisonville,4396,4685
Magnolia,1393,2093
Malakoff,2324,2301
Malone,269,283
Manor,5037,13866
Mansfield,56368,72419
Manvel,5179,12671
Marble Falls,6077,7038
Marfa,1981,1625
Marietta,134,129
Marion,1066,1241
Marlin,5967,5581
Marquez,263,274
Marshall,23523,22831
Mart,2209,1963
Martindale,1116,1231
Mason,2114,2305
Matador,607,611
Mathis,4942,4715
Maud,1056,1042
Maypearl,934,1032
McAllen,129877,143268
McCamey,1887,2060
McGregor,4987,5331
McKinney,131117,199177
McLean,778,744
McLendon-Chisholm,1373,3455
Meadow,593,585
Meadowlakes,1777,1703
Meadows Place,4660,4591
Megargel,203,188
Melissa,4695,12117
Melvin,178,168
Memphis,2290,2012
Menard,1471,1404
Mercedes,15570,16604
Meridian,1493,1515
Merkel,2590,2617
Mertens,125,128
Mertzon,781,743
Mesquite,139824,140937
Mexia,7459,7344
Miami,597,550
Midland,111147,146038
Midlothian,18037,33532
Midway,228,236
Milano,428,421
Mildred,368,392
Miles,829,872
Milford,728,747
Miller's Cove,149,160
Millican,240,243
Millsap,403,461
Mineola,4515,4766
Mineral Wells,16788,15213
Mingus,235,257
Mission,77058,84331
Missouri City,67358,75457
Mobeetie,101,95
Mobile City,188,210
Monahans,6953,7816
Mont Belvieu,3835,6574
Montgomery,621,1360
Moody,1371,1420
Moore Station,201,220
Moran,270,260
Morgan,490,519
Morgan's Point,339,342
Morgan's Point Resort,4170,4685
Morton,2006,1813
Moulton,886,899
Mount Calm,320,339
Mount Enterprise,447,436
Mount Pleasant,15564,15978
Mount Vernon,2662,2738
Mountain City,648,810
Muenster,1544,1645
Muleshoe,5158,5019
Mullin,179,176
Munday,1300,1275
Murchison,594,599
Murphy,17708,20500
Mustang,21,21
Mustang Ridge,861,981
Nacogdoches,32996,32877
Naples,1378,1313
Nash,2960,3827
Nassau Bay,4002,3972
Natalia,1431,1590
Navarro,210,220
Navasota,7049,7998
Nazareth,311,291
Nederland,17547,17371
Needville,2823,3103
Nevada,822,1257
New Berlin,511,624
New Boston,4550,4609
New Braunfels,57740,90209
New Chapel Hill,594,646
New Deal,794,827
New Fairview,1258,1544
New Home,334,363
New Hope,614,628
New London,998,1014
New Summerfield,1111,1170
New Waverly,1032,1071
Newark,1005,1232
Newcastle,585,573
Newton,2478,2370
Neylandville,97,97
Niederwald,565,599
Nixon,2385,2542
Nocona,3033,3002
Nolanville,4259,5879
Nome,588,595
Noonday,777,722
Nordheim,307,303
Normangee,685,706
North Cleveland,247,298
North Richland Hills,63343,70670
Northlake,1724,3348
Novice,139,128
Oak Grove,603,669
Oak Leaf,1298,1484
Oak Point,2786,5762
Oak Ridge,141,242
Oak Ridge,495,742
Oak Ridge North,3049,3161
Oak Valley,368,421
Oakwood,510,515
O'Brien,106,102
Odem,2389,2360
Odessa,99940,123334
O'Donnell,831,837
Oglesby,484,465
Old River-Winfree,1245,1467
Olmos Park,2237,2466
Olney,3285,3099
Olton,2215,2060
Omaha,1021,980
Onalaska,1764,2967
Opdyke West,174,194
Orange,18595,18118
Orange Grove,1318,1302
Orchard,352,407
Ore City,1144,1228
Overton,2554,2503
Ovilla,3492,4167
Oyster Creek,1111,1193
Paducah,1186,1094
Paint Rock,273,296
Palacios,4718,4535
Palestine,18712,17730
Palisades,325,353
Palm Valley,1304,1240
Palmer,2000,2123
Palmhurst,2607,2732
Palmview,5460,5774
Pampa,17994,17068
Panhandle,2452,2312
Panorama Village,2170,2424
Pantego,2394,2519
Paradise,441,561
Paris,25171,24847
Parker,3811,5177
Pasadena,149043,151227
Pattison,472,620
Patton Village,1557,2157
Payne Springs,767,769
Pearland,91252,122460
Pearsall,9146,10609
Pecan Gap,203,197
Pecan Hill,626,694
Pecos,8780,10461
Pelican Bay,1547,2005
Penelope,198,207
Peñitas,4403,4716
Perryton,8802,8512
Petersburg,1202,1132
Petrolia,686,670
Petronila,113,120
Pflugerville,46936,65380
Pharr,70400,79112
Pilot Point,3856,4525
Pine Forest,487,519
Pine Island,988,1159
Pinehurst,2097,1976
Pineland,850,800
Piney Point Village,3125,3444
Pittsburg,4497,4697
Plains,1481,1655
Plainview,22194,20143
Plano,259841,287677
Plantersville,,594
Pleak,1044,1675
Pleasant Valley,336,330
Pleasanton,8934,10855
Plum Grove,600,726
Point,820,926
Point Blank,688,752
Point Comfort,737,677
Point Venture,800,1033
Ponder,1395,2369
Port Aransas,3480,4266
Port Arthur,53818,54280
Port Isabel,5006,6256
Port Lavaca,12248,11854
Port Neches,13040,12655
Portland,15099,17268
Post,5376,5115
Post Oak Bend City,595,587
Poteet,3260,3507
Poth,1908,2284
Pottsboro,2160,2489
Powell,136,146
Poynor,305,306
Prairie View,5576,6953
Premont,2653,2543
Presidio,4426,3894
Primera,4070,5130
Princeton,6807,13894
Progreso,5507,5944
Progreso Lakes,240,291
Prosper,9423,24579
Providence Village,,7377
Putnam,94,93
Pyote,114,132
Quanah,2641,2487
Queen City,1476,1436
Quinlan,1394,1524
Quintana,56,94
Quitaque,411,389
Quitman,1809,1849
Ralls,1944,1806
Rancho Viejo,2437,2460
Ranger,2468,2469
Rankin,778,851
Ransom Canyon,1096,1124
Ravenna,209,225
Raymondville,11284,10880
Red Lick,1008,1010
Red Oak,10769,13464
Redwater,1057,1101
Refugio,2890,2734
Reklaw,379,395
Reno,2494,3204
Reno,3166,3346
Retreat,377,384
Rhome,1522,1845
Rice,923,974
Richardson,99223,121323
Richland,264,273
Richland Hills,7801,7953
Richland Springs,338,309
Richmond,11679,12578
Richwood,3510,3988
Riesel,1007,1037
Rio Bravo,4794,4634
Rio Grande City,13834,14511
Rio Hondo,2356,2707
Rio Vista,873,1075
Rising Star,835,821
River Oaks,7427,7630
Riverside,510,549
Roanoke,5962,9388
Roaring Springs,234,231
Robert Lee,1049,1048
Robinson,10509,11926
Robstown,11487,11261
Roby,643,619
Rochester,324,307
Rockdale,5595,5503
Rockport,8766,10604
Rocksprings,1182,1135
Rockwall,37490,45888
Rocky Mound,75,75
Rogers,1218,1252
Rollingwood,1412,1585
Roma,9765,11490
Roman Forest,1538,2006
Ropesville,434,427
Roscoe,1322,1285
Rose City,502,484
Rose Hill Acres,441,436
Rosebud,1412,1349
Rosenberg,30618,38307
Ross,283,284
Rosser,332,400
Rotan,1508,1438
Round Mountain,181,169
Round Rock,99887,133372
Round Top,90,90
Rowlett,56199,67339
Roxton,650,639
Royse City,9349,14702
Rule,636,599
Runaway Bay,1286,1576
Runge,1031,1138
Rusk,5551,5602
Sabinal,1695,1673
Sachse,20329,26046
Sadler,343,383
Saginaw,19806,24310
Salado,2126,2370
San Angelo,93200,101004
San Antonio,1327407,1547253
San Augustine,2108,1888
San Benito,24250,24243
San Diego,4488,4221
San Elizario,,9089
San Felipe,747,825
San Juan,33856,37008
San Leanna,497,507
San Marcos,44894,64776
San Patricio,395,375
San Perlita,573,556
San Saba,3099,3168
Sanctuary,329,321
Sandy Oaks,,4660
Sandy Point,,236
Sanford,164,156
Sanger,6916,8732
Sansom Park,4686,5748
Santa Anna,1099,1007
Santa Clara,725,751
Santa Fe,12222,13449
Santa Rosa,2873,2723
Savoy,831,872
Schertz,31465,42042
Schulenburg,2852,2913
Scotland,501,474
Scottsville,376,354
Scurry,681,781
Seabrook,11952,14149
Seadrift,1364,1493
Seagoville,14835,16861
Seagraves,2417,2936
Sealy,6019,6446
Seguin,25175,29992
Selma,5540,11132
Seminole,6430,7815
Seven Oaks,111,129
Seven Points,1455,1521
Seymour,2740,2550
Shady Shores,2612,2865
Shallowater,2484,2574
Shamrock,1910,1764
Shavano Park,3035,3979
Shenandoah,2134,2987
Shepherd,2319,2413
Sherman,38521,44002
Shiner,2069,2162
Shoreacres,1493,1593
Silsbee,6611,6617
Silverton,731,686
Simonton,814,884
Sinton,5665,5354
Skellytown,473,449
Slaton,6121,5890
Smiley,549,570
Smithville,3817,4515
Smyer,474,478
Snook,511,541
Snyder,11202,11023
Socorro,32013,34370
Somerset,1631,1965
Somerville,1376,1465
Sonora,3027,2786
Sour Lake,1813,1924
South Houston,16983,17438
South Mountain,384,365
South Padre Island,2816,2778
Southlake,26575,32376
Southmayd,992,1137
Southside Place,1715,1883
Spearman,3368,3256
Splendora,1615,2255
Spofford,95,97
Spring Branch,,254
Spring Valley Village,3715,4319
Springlake,108,102
Springtown,2658,3190
Spur,1318,1199
St. Hedwig,2094,2488
St. Jo,1043,1030
St. Paul,1066,1051
Stafford,17693,17362
Stagecoach,538,592
Stamford,3124,2941
Stanton,2492,3000
Staples,267,277
Star Harbor,444,477
Stephenville,17123,21247
Sterling City,888,998
Stinnett,1881,1770
Stockdale,1442,1649
Stratford,2017,2057
Strawn,653,671
Streetman,247,246
Sudan,958,895
Sugar Land,78817,118488
Sullivan City,4002,4170
Sulphur Springs,15449,16234
Sun Valley,69,83
Sundown,1397,1425
Sunnyvale,5130,6841
Sunray,1926,1812
Sunrise Beach Village,713,796
Sunset Valley,749,672
Surfside Beach,482,579
Sweeny,3684,3717
Sweetwater,10906,10469
Taft,3048,2867
Tahoka,2673,2649
Talco,516,497
Talty,1535,2760
Tatum,1385,1384
Taylor,15191,17383
Taylor Lake Village,3544,3571
Taylor Landing,228,240
Teague,3560,3515
Tehuacana,283,279
Temple,66102,78439
Tenaha,1160,1146
Terrell,15816,18869
Terrell Hills,4878,5447
Texarkana,36411,36317
Texas City,45099,50094
Texhoma,346,323
Texline,507,539
The Colony,36328,44438
The Hills,2472,2487
Thompsons,246,350
Thorndale,1336,1302
Thornton,526,524
Thorntonville,476,541
Thrall,839,977
